date,name,District,Active,Died,Recovered,Total
"July 23, 2020",San Bartolome,District 5,23,5,37,65
"July 23, 2020",San Isidro,District 4,24,2,13,39
"July 23, 2020",San Isidro Labrador,District 1,6,2,5,13
"July 23, 2020",San Jose,District 1,13,3,25,41
"July 23, 2020",San Martin de Porres,District 4,29,3,33,65
"July 23, 2020",San Roque,District 3,21,3,40,64
"July 23, 2020",San Vicente,District 4,21,0,7,28
"July 23, 2020",Sangandaan,District 6,39,0,62,101
"July 23, 2020",Santa Cruz,District 1,11,0,12,23
"July 23, 2020",Santa Lucia,District 5,15,0,10,25
"July 23, 2020",Santa Monica,District 5,17,1,21,39
"July 23, 2020",Santa Teresita,District 1,11,1,13,25
"July 23, 2020",Santo Cristo,District 1,16,0,25,41
"July 23, 2020",Santo Domingo,District 1,12,3,14,29
"July 23, 2020",Santo Nino,District 4,6,1,6,13
"July 23, 2020",Santol,District 4,27,2,10,39
"July 23, 2020",Sauyo,District 6,55,5,50,110
"July 23, 2020",Siena,District 1,1,1,5,7
"July 23, 2020",Sikatuna,District 4,7,2,11,20
"July 23, 2020",Silangan,District 3,2,1,6,9
"July 23, 2020",Socorro,District 3,12,3,22,37
"July 23, 2020",South Triangle,District 4,30,2,27,59
"July 23, 2020",Tagumpay,District 3,8,0,1,9
"July 23, 2020",Talayan,District 1,12,0,5,17
"July 23, 2020",Talipapa,District 6,23,3,68,134
"July 23, 2020",Tandang Sora,District 6,13,0,10,23
"July 23, 2020",Tatalon,District 4,68,9,73,150
"July 23, 2020",Teachers Village East,District 4,6,0,7,13
"July 23, 2020",Teachers Village West,District 4,1,0,3,4
"July 23, 2020",Ugong Norte,District 3,0,3,11,14
"July 23, 2020",Unang Sigaw,District 6,13,0,10,23
"July 23, 2020",UP Campus,District 4,16,3,10,29
"July 23, 2020",UP Village,District 4,1,0,7,8
"July 23, 2020",Valencia,District 4,7,0,12,19
"July 23, 2020",Vasra,District 1,6,2,4,12
"July 23, 2020",Veterans Village,District 1,20,1,17,38
"July 23, 2020",Villa Maria Clara,District 3,1,1,0,2
"July 23, 2020",West Kamias,District 3,7,0,10,17
"July 23, 2020",West Triangle,District 1,2,1,10,13
"July 23, 2020",White Plains,District 3,0,0,8,8
